,name,fps,weight_mb,resolution,url
0,«Умная дорога» и беспилотники как ЦКАД обеспечит комфортную жизнь людям.mp4,30,20.728288650512695,360p,https://www.youtube.com/watch?v=Z8ROlRch6aM&feature=youtu.be&ab_channel=%D0%A2%D0%B5%D0%BB%D0%B5%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB360
1,В Подмосковье открыли движение по самому длинному участку Центральной кольцевой автодороги.mp4,30,19.106423377990723,360p,https://www.youtube.com/watch?v=A1WRc6R0OBM&ab_channel=%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BC%D0%9A%D0%B0%D0%BD%D0%B0%D0%BB%D0%B5
